product_id,product_name,category,sub_category,cost_price,selling_price
P1000,Wireless Headphones 1,Electronics,Standard,2397.93,4644.26
P1001,Hoodie 2,Fashion,Premium,1763.93,2295.47
P1002,Sneakers 3,Fashion,Basic,3701.0,6837.6
P1003,Mixer 4,Home & Kitchen,Standard,3585.73,7055.74
P1004,Dumbbell Set 5,Fitness,Premium,3129.83,5602.03
P1005,Perfume 6,Beauty,Premium,173.85,362.07
P1006,Power Bank 7,Electronics,Premium,3349.06,6453.67
P1007,Dumbbell Set 8,Fitness,Standard,3530.91,4887.51
P1008,Yoga Mat 9,Fitness,Premium,1235.16,1676.26
P1009,Skin Serum 10,Beauty,Standard,2639.48,4324.5
P1010,Power Bank 11,Electronics,Standard,545.18,968.04
P1011,Skin Serum 12,Beauty,Premium,1455.1,2459.86
P1012,Resistance Bands 13,Fitness,Premium,1156.32,1573.92
P1013,Resistance Bands 14,Fitness,Standard,1885.64,2689.2
P1014,Face Wash 15,Beauty,Basic,1709.3,2704.58
P1015,Sneakers 16,Fashion,Premium,3770.64,5229.29
P1016,Laptop Stand 17,Electronics,Premium,1252.8,2495.41
P1017,Storage Box 18,Home & Kitchen,Standard,1289.07,2165.98
P1018,Hair Dryer 19,Beauty,Premium,3083.5,3713.73
P1019,Coffee Maker 20,Home & Kitchen,Premium,3832.75,6373.22
P1020,Hoodie 21,Fashion,Standard,3073.88,6519.11
P1021,Hoodie 22,Fashion,Standard,3525.7,5007.83
P1022,Face Wash 23,Beauty,Basic,2287.47,3684.32
P1023,Smart Watch 24,Electronics,Basic,2199.6,4354.4
P1024,Wireless Headphones 25,Electronics,Basic,1514.74,2540.54
P1025,Perfume 26,Beauty,Premium,2490.72,3662.76
P1026,Smart Watch 27,Electronics,Premium,2485.43,3352.63
P1027,Coffee Maker 28,Home & Kitchen,Standard,2543.34,3416.29
P1028,Face Wash 29,Beauty,Premium,3136.29,4372.05
P1029,Power Bank 30,Electronics,Basic,2637.56,4698.02
P1030,Dumbbell Set 31,Fitness,Premium,1787.53,3298.81
P1031,Smart Watch 32,Electronics,Premium,3409.09,4500.58
P1032,Sneakers 33,Fashion,Basic,2754.25,4434.68
P1033,Sunscreen 34,Beauty,Premium,2744.61,5695.17
P1034,Table Lamp 35,Home & Kitchen,Basic,2663.42,3621.79
P1035,Hair Dryer 36,Beauty,Premium,1752.12,3065.24
P1036,Power Bank 37,Electronics,Basic,638.48,1177.11
P1037,Hoodie 38,Fashion,Basic,2895.98,5683.41
P1038,Fitness Tracker 39,Fitness,Premium,611.62,1165.22
P1039,Water Bottle 40,Home & Kitchen,Basic,1559.81,2201.25
P1040,Perfume 41,Beauty,Basic,2168.73,3844.55
P1041,T-Shirt 42,Fashion,Standard,1908.54,3895.03
P1042,Water Bottle 43,Home & Kitchen,Basic,749.82,1205.08
P1043,Power Bank 44,Electronics,Basic,1178.01,1471.1
P1044,Dumbbell Set 45,Fitness,Premium,1455.4,2791.57
P1045,Coffee Maker 46,Home & Kitchen,Premium,2164.51,3503.79
P1046,Resistance Bands 47,Fitness,Basic,1977.61,2991.14
P1047,Laptop Stand 48,Electronics,Basic,620.33,1110.66
P1048,Sneakers 49,Fashion,Standard,3289.26,6542.51
P1049,Storage Box 50,Home & Kitchen,Basic,1048.37,1713.34
P1050,Coffee Maker 51,Home & Kitchen,Premium,2275.67,4556.92
P1051,Protein Shaker 52,Fitness,Premium,906.55,1207.73
P1052,Hair Dryer 53,Beauty,Basic,3736.75,5028.62
